epoch,train_loss,train_acc,val_loss,val_acc,learning_rate,epoch_time
1,5.127960457552156,10.654445193844925,1648.326687211893,25.252,0.0009998303758629009,1248.3916275501251
2,3.5701846294075272,28.24420151378897,810.1880646256768,38.058,0.000999321619703514,951.9064424037933
3,3.037449505546396,36.54576338928857,1583.066025951079,43.878,0.0009984740801978985,889.0403168201447
4,2.728138391205447,41.755970223820945,926.2671404103844,48.382,0.0009972883382072953,888.1449499130249
5,2.526835353969098,45.368392785771384,5058.323284776539,51.43,0.0009957652063800363,888.0694410800934
6,2.3766967356443214,48.042971872502,2996.255429804021,53.328,0.0009939057285945933,886.6231369972229
7,2.2580705681245483,50.21404751199041,2705.3997710313724,55.09,0.0009917111792441576,886.365315914154
8,2.1612536454324625,52.01073516187051,1297.5467594241609,56.454,0.0009891830623632338,886.8595592975616
9,2.0748164286668733,53.597668740008,228.6053168198892,57.262,0.0009863231105968497,886.8970258235931
10,2.003528754797866,54.95704998501199,2.3329887779391543,58.326,0.0009831332840130884,886.8509290218353
11,1.9426877136520153,56.111438973820945,1.7551032113177436,59.248,0.0009796157687597552,887.8561577796936
12,1.8894675870974669,57.17160646482814,1.7340929626810306,59.694,0.0009757729755661006,887.4226531982422
13,1.8353558897638589,58.20203212430056,1.6928899054016386,60.66,0.0009716075380906279,885.858274936676
14,1.7899321713131204,59.06626261490808,1.679320827126503,60.88,0.0009671223111161144,886.2081255912781
15,1.7468151386073834,59.9021563998801,1.654048608273876,61.496,0.0009623203685930865,886.0599439144135
16,1.710160669615324,60.676224645283774,1.6295753623149833,62.048,0.000957205001533087,885.101879119873
17,1.674006631429628,61.3833932853717,1.669806994953934,62.142,0.0009517797157531806,884.6132974624634
18,1.6414935565728555,62.00797174760192,1.6678788485575695,62.576,0.0009460482294732416,885.0316796302795
19,1.6068101145809504,62.62536845523581,1.8824287689462,62.74,0.0009400144707676724,885.4949634075165
20,1.5781972874983323,63.23714465927258,1.5816320089661344,63.248,0.0009336825748732968,885.4840016365051
21,1.5511549569719987,63.79170101418865,1.5705028276662438,63.224,0.0009270568813552752,885.4476158618927
22,1.5214528448099522,64.34891149580336,1.7069202086755209,63.54,0.0009201419311329845,885.982833147049
